Germany;German Padel Series;MO;Filip;Adelmann;07.10.2019;0;;-300
Germany;German Padel Series;MO;Marc;Bardés;07.10.2019;0;;-130
Germany;German Padel Series;MO;Björn;Basler;07.10.2019;0;;-300
Germany;German Padel Series;MO;Tim;Bauer;07.10.2019;0;;-210
Germany;German Padel Series;MO;Daniel;Baumgartner;07.10.2019;0;;-25
Germany;German Padel Series;MO;Sébastien;Belot;09.12.2019;0;;-50
Germany;German Padel Series;MO;Fernando;Blanchart;14.10.2019;650;;-500
Germany;German Padel Series;MO;Berend;Boers;30.09.2019;1920;;-420
Germany;German Padel Series;MO;Christian;Böhnke;30.09.2019;1020;;-50
Germany;German Padel Series;MO;Christian;Böhnke;09.12.2019;300;;-720
Germany;German Padel Series;MO;Frederick;Bott;30.09.2019;1030;;-250
Germany;German Padel Series;MO;Frederick;Bott;07.10.2019;850;;-180
Germany;German Padel Series;MO;Uwe;Braun;07.10.2019;0;;-25
Germany;German Padel Series;MO;Peter;Bruijsten;30.09.2019;2170;;-420
Germany;German Padel Series;MO;Dario;Buchholz;09.12.2019;0;;-50
Germany;German Padel Series;MO;Jasper;Claßen;07.10.2019;0;;-210
Germany;German Padel Series;MO;Frank;Cramer;30.09.2019;0;;-50
Germany;German Padel Series;MO;Łukasz;Cyranski;30.09.2019;720;;-420
Germany;German Padel Series;MO;Malte;Daum;30.09.2019;555;;-100
Germany;German Padel Series;MO;Emiliano;Di Carlo;30.09.2019;0;;-150
Germany;German Padel Series;MO;Nils;Digel;07.10.2019;0;;-300
Germany;German Padel Series;MO;Pasqual;Duttlinger;30.09.2019;0;;-50
Germany;German Padel Series;MO;Philipp;Duttlinger;30.09.2019;0;;-50
Germany;German Padel Series;MO;Günter;Eckert;07.10.2019;0;;-180
Germany;German Padel Series;MO;Marvin;Eckert;30.09.2019;0;;-250
Germany;German Padel Series;MO;Mimoun;El Yahioui;07.10.2019;255;;-50
Germany;German Padel Series;MO;José Carlos;Fernández Cruz;07.10.2019;0;;-500
Germany;German Padel Series;MO;André;Friedrichs;09.12.2019;0;;-50
Germany;German Padel Series;MO;Lorenzo;García Grumbach;14.10.2019;150;;-500
Germany;German Padel Series;MO;Jesús;García Perojil;07.10.2019;0;;-25
